date_id,calendar_year,calendar_quarter,calendar_month,day_of_month,day_of_week,day_name,is_weekend,is_working_day,fiscal_year,fiscal_period,period_end_date,working_days_after_period_end,working_day_of_period
2023-01-01,2023,1,1,1,7,Sunday,true,false,2023,1,2023-01-31,0,0
2023-01-02,2023,1,1,2,1,Monday,false,true,2023,1,2023-01-31,1,1
2023-01-03,2023,1,1,3,2,Tuesday,false,true,2023,1,2023-01-31,2,2
2023-01-04,2023,1,1,4,3,Wednesday,false,true,2023,1,2023-01-31,3,3
2023-01-05,2023,1,1,5,4,Thursday,false,true,2023,1,2023-01-31,4,4
2023-01-06,2023,1,1,6,5,Friday,false,true,2023,1,2023-01-31,5,5
2023-01-07,2023,1,1,7,6,Saturday,true,false,2023,1,2023-01-31,5,0
2023-01-08,2023,1,1,8,7,Sunday,true,false,2023,1,2023-01-31,5,0
2023-01-09,2023,1,1,9,1,Monday,false,true,2023,1,2023-01-31,6,6
2023-01-10,2023,1,1,10,2,Tuesday,false,true,2023,1,2023-01-31,7,7
2023-01-11,2023,1,1,11,3,Wednesday,false,true,2023,1,2023-01-31,8,8
2023-01-12,2023,1,1,12,4,Thursday,false,true,2023,1,2023-01-31,9,9
2023-01-13,2023,1,1,13,5,Friday,false,true,2023,1,2023-01-31,10,10
2023-01-14,2023,1,1,14,6,Saturday,true,false,2023,1,2023-01-31,10,0
2023-01-15,2023,1,1,15,7,Sunday,true,false,2023,1,2023-01-31,10,0
2023-01-16,2023,1,1,16,1,Monday,false,true,2023,1,2023-01-31,11,11
2023-01-17,2023,1,1,17,2,Tuesday,false,true,2023,1,2023-01-31,12,12
2023-01-18,2023,1,1,18,3,Wednesday,false,true,2023,1,2023-01-31,13,13
2023-01-19,2023,1,1,19,4,Thursday,false,true,2023,1,2023-01-31,14,14
2023-01-20,2023,1,1,20,5,Friday,false,true,2023,1,2023-01-31,15,15
2023-01-21,2023,1,1,21,6,Saturday,true,false,2023,1,2023-01-31,15,0
2023-01-22,2023,1,1,22,7,Sunday,true,false,2023,1,2023-01-31,15,0
2023-01-23,2023,1,1,23,1,Monday,false,true,2023,1,2023-01-31,16,16
2023-01-24,2023,1,1,24,2,Tuesday,false,true,2023,1,2023-01-31,17,17
2023-01-25,2023,1,1,25,3,Wednesday,false,true,2023,1,2023-01-31,18,18
2023-01-26,2023,1,1,26,4,Thursday,false,true,2023,1,2023-01-31,19,19
2023-01-27,2023,1,1,27,5,Friday,false,true,2023,1,2023-01-31,20,20
2023-01-28,2023,1,1,28,6,Saturday,true,false,2023,1,2023-01-31,20,0
2023-01-29,2023,1,1,29,7,Sunday,true,false,2023,1,2023-01-31,20,0
2023-01-30,2023,1,1,30,1,Monday,false,true,2023,1,2023-01-31,21,21
2023-01-31,2023,1,1,31,2,Tuesday,false,true,2023,1,2023-01-31,22,22
2023-02-01,2023,1,2,1,3,Wednesday,false,true,2023,2,2023-02-28,1,1
2023-02-02,2023,1,2,2,4,Thursday,false,true,2023,2,2023-02-28,2,2
2023-02-03,2023,1,2,3,5,Friday,false,true,2023,2,2023-02-28,3,3
2023-02-04,2023,1,2,4,6,Saturday,true,false,2023,2,2023-02-28,3,0
2023-02-05,2023,1,2,5,7,Sunday,true,false,2023,2,2023-02-28,3,0
2023-02-06,2023,1,2,6,1,Monday,false,true,2023,2,2023-02-28,4,4
2023-02-07,2023,1,2,7,2,Tuesday,false,true,2023,2,2023-02-28,5,5
2023-02-08,2023,1,2,8,3,Wednesday,false,true,2023,2,2023-02-28,6,6
2023-02-09,2023,1,2,9,4,Thursday,false,true,2023,2,2023-02-28,7,7
2023-02-10,2023,1,2,10,5,Friday,false,true,2023,2,2023-02-28,8,8
2023-02-11,2023,1,2,11,6,Saturday,true,false,2023,2,2023-02-28,8,0
2023-02-12,2023,1,2,12,7,Sunday,true,false,2023,2,2023-02-28,8,0
2023-02-13,2023,1,2,13,1,Monday,false,true,2023,2,2023-02-28,9,9
2023-02-14,2023,1,2,14,2,Tuesday,false,true,2023,2,2023-02-28,10,10
2023-02-15,2023,1,2,15,3,Wednesday,false,true,2023,2,2023-02-28,11,11
2023-02-16,2023,1,2,16,4,Thursday,false,true,2023,2,2023-02-28,12,12
2023-02-17,2023,1,2,17,5,Friday,false,true,2023,2,2023-02-28,13,13
2023-02-18,2023,1,2,18,6,Saturday,true,false,2023,2,2023-02-28,13,0
2023-02-19,2023,1,2,19,7,Sunday,true,false,2023,2,2023-02-28,13,0
2023-02-20,2023,1,2,20,1,Monday,false,true,2023,2,2023-02-28,14,14
2023-02-21,2023,1,2,21,2,Tuesday,false,true,2023,2,2023-02-28,15,15
2023-02-22,2023,1,2,22,3,Wednesday,false,true,2023,2,2023-02-28,16,16
2023-02-23,2023,1,2,23,4,Thursday,false,true,2023,2,2023-02-28,17,17
2023-02-24,2023,1,2,24,5,Friday,false,true,2023,2,2023-02-28,18,18
2023-02-25,2023,1,2,25,6,Saturday,true,false,2023,2,2023-02-28,18,0
2023-02-26,2023,1,2,26,7,Sunday,true,false,2023,2,2023-02-28,18,0
2023-02-27,2023,1,2,27,1,Monday,false,true,2023,2,2023-02-28,19,19
2023-02-28,2023,1,2,28,2,Tuesday,false,true,2023,2,2023-02-28,20,20
2023-03-01,2023,1,3,1,3,Wednesday,false,true,2023,3,2023-03-31,1,1
2023-03-02,2023,1,3,2,4,Thursday,false,true,2023,3,2023-03-31,2,2
2023-03-03,2023,1,3,3,5,Friday,false,true,2023,3,2023-03-31,3,3
2023-03-04,2023,1,3,4,6,Saturday,true,false,2023,3,2023-03-31,3,0
2023-03-05,2023,1,3,5,7,Sunday,true,false,2023,3,2023-03-31,3,0
2023-03-06,2023,1,3,6,1,Monday,false,true,2023,3,2023-03-31,4,4
2023-03-07,2023,1,3,7,2,Tuesday,false,true,2023,3,2023-03-31,5,5
2023-03-08,2023,1,3,8,3,Wednesday,false,true,2023,3,2023-03-31,6,6
2023-03-09,2023,1,3,9,4,Thursday,false,true,2023,3,2023-03-31,7,7
2023-03-10,2023,1,3,10,5,Friday,false,true,2023,3,2023-03-31,8,8
2023-03-11,2023,1,3,11,6,Saturday,true,false,2023,3,2023-03-31,8,0
2023-03-12,2023,1,3,12,7,Sunday,true,false,2023,3,2023-03-31,8,0
2023-03-13,2023,1,3,13,1,Monday,false,true,2023,3,2023-03-31,9,9
2023-03-14,2023,1,3,14,2,Tuesday,false,true,2023,3,2023-03-31,10,10
2023-03-15,2023,1,3,15,3,Wednesday,false,true,2023,3,2023-03-31,11,11
2023-03-16,2023,1,3,16,4,Thursday,false,true,2023,3,2023-03-31,12,12
2023-03-17,2023,1,3,17,5,Friday,false,true,2023,3,2023-03-31,13,13
2023-03-18,2023,1,3,18,6,Saturday,true,false,2023,3,2023-03-31,13,0
2023-03-19,2023,1,3,19,7,Sunday,true,false,2023,3,2023-03-31,13,0
2023-03-20,2023,1,3,20,1,Monday,false,true,2023,3,2023-03-31,14,14
2023-03-21,2023,1,3,21,2,Tuesday,false,true,2023,3,2023-03-31,15,15
2023-03-22,2023,1,3,22,3,Wednesday,false,true,2023,3,2023-03-31,16,16
2023-03-23,2023,1,3,23,4,Thursday,false,true,2023,3,2023-03-31,17,17
2023-03-24,2023,1,3,24,5,Friday,false,true,2023,3,2023-03-31,18,18
2023-03-25,2023,1,3,25,6,Saturday,true,false,2023,3,2023-03-31,18,0
2023-03-26,2023,1,3,26,7,Sunday,true,false,2023,3,2023-03-31,18,0
2023-03-27,2023,1,3,27,1,Monday,false,true,2023,3,2023-03-31,19,19
2023-03-28,2023,1,3,28,2,Tuesday,false,true,2023,3,2023-03-31,20,20
2023-03-29,2023,1,3,29,3,Wednesday,false,true,2023,3,2023-03-31,21,21
2023-03-30,2023,1,3,30,4,Thursday,false,true,2023,3,2023-03-31,22,22
2023-03-31,2023,1,3,31,5,Friday,false,true,2023,3,2023-03-31,23,23
2023-04-01,2023,2,4,1,6,Saturday,true,false,2023,4,2023-04-30,0,0
2023-04-02,2023,2,4,2,7,Sunday,true,false,2023,4,2023-04-30,0,0
2023-04-03,2023,2,4,3,1,Monday,false,true,2023,4,2023-04-30,1,1
2023-04-04,2023,2,4,4,2,Tuesday,false,true,2023,4,2023-04-30,2,2
2023-04-05,2023,2,4,5,3,Wednesday,false,true,2023,4,2023-04-30,3,3
2023-04-06,2023,2,4,6,4,Thursday,false,true,2023,4,2023-04-30,4,4
2023-04-07,2023,2,4,7,5,Friday,false,false,2023,4,2023-04-30,4,0
2023-04-08,2023,2,4,8,6,Saturday,true,false,2023,4,2023-04-30,4,0
2023-04-09,2023,2,4,9,7,Sunday,true,false,2023,4,2023-04-30,4,0
2023-04-10,2023,2,4,10,1,Monday,false,false,2023,4,2023-04-30,4,0
2023-04-11,2023,2,4,11,2,Tuesday,false,true,2023,4,2023-04-30,5,5
2023-04-12,2023,2,4,12,3,Wednesday,false,true,2023,4,2023-04-30,6,6
2023-04-13,2023,2,4,13,4,Thursday,false,true,2023,4,2023-04-30,7,7
2023-04-14,2023,2,4,14,5,Friday,false,true,2023,4,2023-04-30,8,8
2023-04-15,2023,2,4,15,6,Saturday,true,false,2023,4,2023-04-30,8,0
2023-04-16,2023,2,4,16,7,Sunday,true,false,2023,4,2023-04-30,8,0
2023-04-17,2023,2,4,17,1,Monday,false,true,2023,4,2023-04-30,9,9
2023-04-18,2023,2,4,18,2,Tuesday,false,true,2023,4,2023-04-30,10,10
2023-04-19,2023,2,4,19,3,Wednesday,false,true,2023,4,2023-04-30,11,11
2023-04-20,2023,2,4,20,4,Thursday,false,true,2023,4,2023-04-30,12,12
2023-04-21,2023,2,4,21,5,Friday,false,true,2023,4,2023-04-30,13,13
2023-04-22,2023,2,4,22,6,Saturday,true,false,2023,4,2023-04-30,13,0
2023-04-23,2023,2,4,23,7,Sunday,true,false,2023,4,2023-04-30,13,0
2023-04-24,2023,2,4,24,1,Monday,false,true,2023,4,2023-04-30,14,14
2023-04-25,2023,2,4,25,2,Tuesday,false,true,2023,4,2023-04-30,15,15
2023-04-26,2023,2,4,26,3,Wednesday,false,true,2023,4,2023-04-30,16,16
2023-04-27,2023,2,4,27,4,Thursday,false,true,2023,4,2023-04-30,17,17
2023-04-28,2023,2,4,28,5,Friday,false,true,2023,4,2023-04-30,18,18
2023-04-29,2023,2,4,29,6,Saturday,true,false,2023,4,2023-04-30,18,0
2023-04-30,2023,2,4,30,7,Sunday,true,false,2023,4,2023-04-30,18,0
2023-05-01,2023,2,5,1,1,Monday,false,false,2023,5,2023-05-31,0,0
2023-05-02,2023,2,5,2,2,Tuesday,false,true,2023,5,2023-05-31,1,1
2023-05-03,2023,2,5,3,3,Wednesday,false,true,2023,5,2023-05-31,2,2
2023-05-04,2023,2,5,4,4,Thursday,false,true,2023,5,2023-05-31,3,3
2023-05-05,2023,2,5,5,5,Friday,false,true,2023,5,2023-05-31,4,4
2023-05-06,2023,2,5,6,6,Saturday,true,false,2023,5,2023-05-31,4,0
2023-05-07,2023,2,5,7,7,Sunday,true,false,2023,5,2023-05-31,4,0
2023-05-08,2023,2,5,8,1,Monday,false,true,2023,5,2023-05-31,5,5
2023-05-09,2023,2,5,9,2,Tuesday,false,true,2023,5,2023-05-31,6,6
2023-05-10,2023,2,5,10,3,Wednesday,false,true,2023,5,2023-05-31,7,7
2023-05-11,2023,2,5,11,4,Thursday,false,true,2023,5,2023-05-31,8,8
2023-05-12,2023,2,5,12,5,Friday,false,true,2023,5,2023-05-31,9,9
2023-05-13,2023,2,5,13,6,Saturday,true,false,2023,5,2023-05-31,9,0
2023-05-14,2023,2,5,14,7,Sunday,true,false,2023,5,2023-05-31,9,0
2023-05-15,2023,2,5,15,1,Monday,false,true,2023,5,2023-05-31,10,10
2023-05-16,2023,2,5,16,2,Tuesday,false,true,2023,5,2023-05-31,11,11
2023-05-17,2023,2,5,17,3,Wednesday,false,true,2023,5,2023-05-31,12,12
2023-05-18,2023,2,5,18,4,Thursday,false,true,2023,5,2023-05-31,13,13
2023-05-19,2023,2,5,19,5,Friday,false,true,2023,5,2023-05-31,14,14
2023-05-20,2023,2,5,20,6,Saturday,true,false,2023,5,2023-05-31,14,0
2023-05-21,2023,2,5,21,7,Sunday,true,false,2023,5,2023-05-31,14,0
2023-05-22,2023,2,5,22,1,Monday,false,true,2023,5,2023-05-31,15,15
2023-05-23,2023,2,5,23,2,Tuesday,false,true,2023,5,2023-05-31,16,16
2023-05-24,2023,2,5,24,3,Wednesday,false,true,2023,5,2023-05-31,17,17
2023-05-25,2023,2,5,25,4,Thursday,false,true,2023,5,2023-05-31,18,18
2023-05-26,2023,2,5,26,5,Friday,false,true,2023,5,2023-05-31,19,19
2023-05-27,2023,2,5,27,6,Saturday,true,false,2023,5,2023-05-31,19,0
2023-05-28,2023,2,5,28,7,Sunday,true,false,2023,5,2023-05-31,19,0
2023-05-29,2023,2,5,29,1,Monday,false,true,2023,5,2023-05-31,20,20
2023-05-30,2023,2,5,30,2,Tuesday,false,true,2023,5,2023-05-31,21,21
2023-05-31,2023,2,5,31,3,Wednesday,false,true,2023,5,2023-05-31,22,22
2023-06-01,2023,2,6,1,4,Thursday,false,true,2023,6,2023-06-30,1,1
2023-06-02,2023,2,6,2,5,Friday,false,true,2023,6,2023-06-30,2,2
2023-06-03,2023,2,6,3,6,Saturday,true,false,2023,6,2023-06-30,2,0
2023-06-04,2023,2,6,4,7,Sunday,true,false,2023,6,2023-06-30,2,0
2023-06-05,2023,2,6,5,1,Monday,false,true,2023,6,2023-06-30,3,3
2023-06-06,2023,2,6,6,2,Tuesday,false,true,2023,6,2023-06-30,4,4
2023-06-07,2023,2,6,7,3,Wednesday,false,true,2023,6,2023-06-30,5,5
2023-06-08,2023,2,6,8,4,Thursday,false,true,2023,6,2023-06-30,6,6
2023-06-09,2023,2,6,9,5,Friday,false,true,2023,6,2023-06-30,7,7
2023-06-10,2023,2,6,10,6,Saturday,true,false,2023,6,2023-06-30,7,0
2023-06-11,2023,2,6,11,7,Sunday,true,false,2023,6,2023-06-30,7,0
2023-06-12,2023,2,6,12,1,Monday,false,true,2023,6,2023-06-30,8,8
2023-06-13,2023,2,6,13,2,Tuesday,false,true,2023,6,2023-06-30,9,9
2023-06-14,2023,2,6,14,3,Wednesday,false,true,2023,6,2023-06-30,10,10
2023-06-15,2023,2,6,15,4,Thursday,false,true,2023,6,2023-06-30,11,11
2023-06-16,2023,2,6,16,5,Friday,false,true,2023,6,2023-06-30,12,12
2023-06-17,2023,2,6,17,6,Saturday,true,false,2023,6,2023-06-30,12,0
2023-06-18,2023,2,6,18,7,Sunday,true,false,2023,6,2023-06-30,12,0
2023-06-19,2023,2,6,19,1,Monday,false,true,2023,6,2023-06-30,13,13
2023-06-20,2023,2,6,20,2,Tuesday,false,true,2023,6,2023-06-30,14,14
2023-06-21,2023,2,6,21,3,Wednesday,false,true,2023,6,2023-06-30,15,15
2023-06-22,2023,2,6,22,4,Thursday,false,true,2023,6,2023-06-30,16,16
2023-06-23,2023,2,6,23,5,Friday,false,true,2023,6,2023-06-30,17,17
2023-06-24,2023,2,6,24,6,Saturday,true,false,2023,6,2023-06-30,17,0
2023-06-25,2023,2,6,25,7,Sunday,true,false,2023,6,2023-06-30,17,0
2023-06-26,2023,2,6,26,1,Monday,false,true,2023,6,2023-06-30,18,18
2023-06-27,2023,2,6,27,2,Tuesday,false,true,2023,6,2023-06-30,19,19
2023-06-28,2023,2,6,28,3,Wednesday,false,true,2023,6,2023-06-30,20,20
2023-06-29,2023,2,6,29,4,Thursday,false,true,2023,6,2023-06-30,21,21
2023-06-30,2023,2,6,30,5,Friday,false,true,2023,6,2023-06-30,22,22
2023-07-01,2023,3,7,1,6,Saturday,true,false,2023,7,2023-07-31,0,0
2023-07-02,2023,3,7,2,7,Sunday,true,false,2023,7,2023-07-31,0,0
2023-07-03,2023,3,7,3,1,Monday,false,true,2023,7,2023-07-31,1,1
2023-07-04,2023,3,7,4,2,Tuesday,false,true,2023,7,2023-07-31,2,2
2023-07-05,2023,3,7,5,3,Wednesday,false,true,2023,7,2023-07-31,3,3
2023-07-06,2023,3,7,6,4,Thursday,false,true,2023,7,2023-07-31,4,4
2023-07-07,2023,3,7,7,5,Friday,false,true,2023,7,2023-07-31,5,5
2023-07-08,2023,3,7,8,6,Saturday,true,false,2023,7,2023-07-31,5,0
2023-07-09,2023,3,7,9,7,Sunday,true,false,2023,7,2023-07-31,5,0
2023-07-10,2023,3,7,10,1,Monday,false,true,2023,7,2023-07-31,6,6
2023-07-11,2023,3,7,11,2,Tuesday,false,true,2023,7,2023-07-31,7,7
2023-07-12,2023,3,7,12,3,Wednesday,false,true,2023,7,2023-07-31,8,8
2023-07-13,2023,3,7,13,4,Thursday,false,true,2023,7,2023-07-31,9,9
2023-07-14,2023,3,7,14,5,Friday,false,true,2023,7,2023-07-31,10,10
2023-07-15,2023,3,7,15,6,Saturday,true,false,2023,7,2023-07-31,10,0
2023-07-16,2023,3,7,16,7,Sunday,true,false,2023,7,2023-07-31,10,0
2023-07-17,2023,3,7,17,1,Monday,false,true,2023,7,2023-07-31,11,11
2023-07-18,2023,3,7,18,2,Tuesday,false,true,2023,7,2023-07-31,12,12
2023-07-19,2023,3,7,19,3,Wednesday,false,true,2023,7,2023-07-31,13,13
