budget_id,company_code,fiscal_year,cost_center,account_group,programme_id,version,amount_group_currency
1,NS10,2023,CC-10-1001,DEP,PRG-HELIOS,BUDGET,85375.4
2,NS10,2023,CC-10-1001,DEP,,BUDGET,42593.28
3,NS10,2023,CC-10-1001,MAT,PRG-HELIOS,BUDGET,950274.94
4,NS10,2023,CC-10-1001,MAT,,BUDGET,414956.92
5,NS10,2023,CC-10-1001,OTH,PRG-HELIOS,BUDGET,10012.67
6,NS10,2023,CC-10-1001,OTH,,BUDGET,6945.56
7,NS10,2023,CC-10-1001,OVH,PRG-HELIOS,BUDGET,57781.72
8,NS10,2023,CC-10-1001,OVH,,BUDGET,25762.66
9,NS10,2023,CC-10-1001,PER,PRG-HELIOS,BUDGET,115574.28
10,NS10,2023,CC-10-1001,PER,,BUDGET,61722.67
11,NS10,2023,CC-10-1001,SUB,PRG-HELIOS,BUDGET,1715075.54
12,NS10,2023,CC-10-1001,SUB,,BUDGET,761396.15
13,NS10,2023,CC-10-1002,DEP,PRG-HELIOS,BUDGET,38981.24
14,NS10,2023,CC-10-1002,DEP,PRG-MERIDIAN,BUDGET,23644.15
15,NS10,2023,CC-10-1002,DEP,,BUDGET,104976.12
16,NS10,2023,CC-10-1002,MAT,PRG-HELIOS,BUDGET,284371.38
17,NS10,2023,CC-10-1002,MAT,PRG-MERIDIAN,BUDGET,253293.85
18,NS10,2023,CC-10-1002,MAT,,BUDGET,851998.07
19,NS10,2023,CC-10-1002,OTH,,BUDGET,13060.87
20,NS10,2023,CC-10-1002,OVH,PRG-HELIOS,BUDGET,23522.55
21,NS10,2023,CC-10-1002,OVH,PRG-MERIDIAN,BUDGET,8562.04
22,NS10,2023,CC-10-1002,OVH,,BUDGET,58066.35
23,NS10,2023,CC-10-1002,PER,PRG-HELIOS,BUDGET,46373.96
24,NS10,2023,CC-10-1002,PER,PRG-MERIDIAN,BUDGET,8047.44
25,NS10,2023,CC-10-1002,PER,,BUDGET,100527.28
26,NS10,2023,CC-10-1002,SUB,PRG-HELIOS,BUDGET,614156.46
27,NS10,2023,CC-10-1002,SUB,PRG-MERIDIAN,BUDGET,134084.35
28,NS10,2023,CC-10-1002,SUB,,BUDGET,1551236.47
29,NS10,2023,CC-10-1003,DEP,PRG-HELIOS,BUDGET,28754.53
30,NS10,2023,CC-10-1003,DEP,PRG-KESTREL,BUDGET,16352.09
31,NS10,2023,CC-10-1003,DEP,,BUDGET,81755.01
32,NS10,2023,CC-10-1003,MAT,PRG-HELIOS,BUDGET,254759.61
33,NS10,2023,CC-10-1003,MAT,PRG-KESTREL,BUDGET,297579.53
34,NS10,2023,CC-10-1003,MAT,,BUDGET,647997.91
35,NS10,2023,CC-10-1003,OVH,PRG-HELIOS,BUDGET,15950.35
36,NS10,2023,CC-10-1003,OVH,PRG-KESTREL,BUDGET,15769.32
37,NS10,2023,CC-10-1003,OVH,,BUDGET,47461.2
38,NS10,2023,CC-10-1003,PER,PRG-HELIOS,BUDGET,24622.35
39,NS10,2023,CC-10-1003,PER,PRG-KESTREL,BUDGET,38177.62
40,NS10,2023,CC-10-1003,PER,,BUDGET,80595.1
41,NS10,2023,CC-10-1003,SUB,PRG-HELIOS,BUDGET,803670.18
42,NS10,2023,CC-10-1003,SUB,PRG-KESTREL,BUDGET,586315.39
43,NS10,2023,CC-10-1003,SUB,,BUDGET,1245550.66
44,NS10,2023,CC-10-1004,DEP,PRG-KESTREL,BUDGET,22634.91
45,NS10,2023,CC-10-1004,DEP,PRG-TERRA,BUDGET,35581.42
46,NS10,2023,CC-10-1004,DEP,,BUDGET,60132.2
47,NS10,2023,CC-10-1004,MAT,PRG-KESTREL,BUDGET,332995.08
48,NS10,2023,CC-10-1004,MAT,PRG-TERRA,BUDGET,352869.04
49,NS10,2023,CC-10-1004,MAT,,BUDGET,823575.19
50,NS10,2023,CC-10-1004,OTH,,BUDGET,11212.58
51,NS10,2023,CC-10-1004,OVH,PRG-KESTREL,BUDGET,22173.31
52,NS10,2023,CC-10-1004,OVH,PRG-TERRA,BUDGET,20004.56
53,NS10,2023,CC-10-1004,OVH,,BUDGET,44350.08
54,NS10,2023,CC-10-1004,PER,PRG-KESTREL,BUDGET,42217.52
55,NS10,2023,CC-10-1004,PER,PRG-TERRA,BUDGET,41615.02
56,NS10,2023,CC-10-1004,PER,,BUDGET,98615.11
57,NS10,2023,CC-10-1004,SUB,PRG-KESTREL,BUDGET,664468.51
58,NS10,2023,CC-10-1004,SUB,PRG-TERRA,BUDGET,535663.82
59,NS10,2023,CC-10-1004,SUB,,BUDGET,949719.59
60,NS10,2023,CC-10-1005,DEP,PRG-AURORA,BUDGET,17686.39
61,NS10,2023,CC-10-1005,DEP,PRG-KESTREL,BUDGET,19174.7
62,NS10,2023,CC-10-1005,DEP,,BUDGET,114525.45
63,NS10,2023,CC-10-1005,MAT,PRG-AURORA,BUDGET,205660.36
64,NS10,2023,CC-10-1005,MAT,PRG-KESTREL,BUDGET,268969.12
65,NS10,2023,CC-10-1005,MAT,,BUDGET,702879.78
66,NS10,2023,CC-10-1005,OTH,,BUDGET,9209.34
67,NS10,2023,CC-10-1005,OVH,PRG-AURORA,BUDGET,13894.19
68,NS10,2023,CC-10-1005,OVH,PRG-KESTREL,BUDGET,21642.99
69,NS10,2023,CC-10-1005,OVH,,BUDGET,47882.0
70,NS10,2023,CC-10-1005,PER,PRG-AURORA,BUDGET,42592.81
71,NS10,2023,CC-10-1005,PER,PRG-KESTREL,BUDGET,48716.76
72,NS10,2023,CC-10-1005,PER,,BUDGET,75257.42
73,NS10,2023,CC-10-1005,SUB,PRG-AURORA,BUDGET,435166.96
74,NS10,2023,CC-10-1005,SUB,PRG-KESTREL,BUDGET,502242.24
75,NS10,2023,CC-10-1005,SUB,,BUDGET,1523778.93
76,NS10,2023,CC-10-1006,DEP,PRG-HELIOS,BUDGET,63641.29
77,NS10,2023,CC-10-1006,DEP,,BUDGET,59378.18
78,NS10,2023,CC-10-1006,MAT,PRG-HELIOS,BUDGET,565165.27
79,NS10,2023,CC-10-1006,MAT,,BUDGET,615805.84
80,NS10,2023,CC-10-1006,OTH,PRG-HELIOS,BUDGET,5757.14
81,NS10,2023,CC-10-1006,OVH,PRG-HELIOS,BUDGET,41278.33
82,NS10,2023,CC-10-1006,OVH,,BUDGET,42838.39
83,NS10,2023,CC-10-1006,PER,PRG-HELIOS,BUDGET,55355.23
84,NS10,2023,CC-10-1006,PER,,BUDGET,74373.22
85,NS10,2023,CC-10-1006,SUB,PRG-HELIOS,BUDGET,1285152.37
86,NS10,2023,CC-10-1006,SUB,,BUDGET,1058190.75
87,NS10,2023,CC-10-1007,DEP,PRG-HELIOS,BUDGET,22067.48
88,NS10,2023,CC-10-1007,DEP,PRG-MERIDIAN,BUDGET,10884.21
89,NS10,2023,CC-10-1007,DEP,,BUDGET,93147.22
90,NS10,2023,CC-10-1007,MAT,PRG-HELIOS,BUDGET,301317.79
91,NS10,2023,CC-10-1007,MAT,PRG-MERIDIAN,BUDGET,157199.6
92,NS10,2023,CC-10-1007,MAT,,BUDGET,796645.84
93,NS10,2023,CC-10-1007,OTH,PRG-HELIOS,BUDGET,5754.54
94,NS10,2023,CC-10-1007,OTH,,BUDGET,10164.64
95,NS10,2023,CC-10-1007,OVH,PRG-HELIOS,BUDGET,27085.85
96,NS10,2023,CC-10-1007,OVH,PRG-MERIDIAN,BUDGET,9487.97
97,NS10,2023,CC-10-1007,OVH,,BUDGET,50848.93
98,NS10,2023,CC-10-1007,PER,PRG-HELIOS,BUDGET,32382.17
99,NS10,2023,CC-10-1007,PER,PRG-MERIDIAN,BUDGET,15228.78
100,NS10,2023,CC-10-1007,PER,,BUDGET,88415.39
101,NS10,2023,CC-10-1007,SUB,PRG-HELIOS,BUDGET,441380.31
102,NS10,2023,CC-10-1007,SUB,PRG-MERIDIAN,BUDGET,266298.51
103,NS10,2023,CC-10-1007,SUB,,BUDGET,1416474.41
104,NS10,2023,CC-10-1008,DEP,PRG-AURORA,BUDGET,25697.13
105,NS10,2023,CC-10-1008,DEP,PRG-HELIOS,BUDGET,31169.75
106,NS10,2023,CC-10-1008,DEP,PRG-MERIDIAN,BUDGET,22410.9
107,NS10,2023,CC-10-1008,DEP,,BUDGET,71027.12
108,NS10,2023,CC-10-1008,MAT,PRG-AURORA,BUDGET,238830.17
109,NS10,2023,CC-10-1008,MAT,PRG-HELIOS,BUDGET,251076.41
110,NS10,2023,CC-10-1008,MAT,PRG-MERIDIAN,BUDGET,111211.76
111,NS10,2023,CC-10-1008,MAT,,BUDGET,641222.08
112,NS10,2023,CC-10-1008,OTH,PRG-HELIOS,BUDGET,6070.18
113,NS10,2023,CC-10-1008,OTH,,BUDGET,7329.26
114,NS10,2023,CC-10-1008,OVH,PRG-AURORA,BUDGET,19240.61
115,NS10,2023,CC-10-1008,OVH,PRG-HELIOS,BUDGET,31508.56
116,NS10,2023,CC-10-1008,OVH,PRG-MERIDIAN,BUDGET,8437.19
117,NS10,2023,CC-10-1008,OVH,,BUDGET,26148.76
118,NS10,2023,CC-10-1008,PER,PRG-AURORA,BUDGET,31384.47
119,NS10,2023,CC-10-1008,PER,PRG-HELIOS,BUDGET,32263.68
120,NS10,2023,CC-10-1008,PER,PRG-MERIDIAN,BUDGET,23604.4
121,NS10,2023,CC-10-1008,PER,,BUDGET,78199.06
122,NS10,2023,CC-10-1008,SUB,PRG-AURORA,BUDGET,405002.25
123,NS10,2023,CC-10-1008,SUB,PRG-HELIOS,BUDGET,605070.2
124,NS10,2023,CC-10-1008,SUB,PRG-MERIDIAN,BUDGET,292040.01
125,NS10,2023,CC-10-1008,SUB,,BUDGET,1113248.3
126,NS10,2023,CC-10-1009,DEP,PRG-HELIOS,BUDGET,65039.74
127,NS10,2023,CC-10-1009,DEP,,BUDGET,69195.86
128,NS10,2023,CC-10-1009,MAT,PRG-HELIOS,BUDGET,635527.62
129,NS10,2023,CC-10-1009,MAT,,BUDGET,786044.08
130,NS10,2023,CC-10-1009,OTH,,BUDGET,5107.81
131,NS10,2023,CC-10-1009,OVH,PRG-HELIOS,BUDGET,36546.17
132,NS10,2023,CC-10-1009,OVH,,BUDGET,61430.66
133,NS10,2023,CC-10-1009,PER,PRG-HELIOS,BUDGET,132960.25
134,NS10,2023,CC-10-1009,PER,,BUDGET,101972.15
135,NS10,2023,CC-10-1009,SUB,PRG-HELIOS,BUDGET,1146100.85
136,NS10,2023,CC-10-1009,SUB,,BUDGET,1183962.52
137,NS10,2023,CC-10-1010,DEP,PRG-AURORA,BUDGET,17489.96
138,NS10,2023,CC-10-1010,DEP,,BUDGET,122726.31
139,NS10,2023,CC-10-1010,MAT,PRG-AURORA,BUDGET,293658.35
140,NS10,2023,CC-10-1010,MAT,,BUDGET,1121645.79
141,NS10,2023,CC-10-1010,OTH,PRG-AURORA,BUDGET,6562.63
142,NS10,2023,CC-10-1010,OTH,,BUDGET,11604.82
143,NS10,2023,CC-10-1010,OVH,PRG-AURORA,BUDGET,17235.2
144,NS10,2023,CC-10-1010,OVH,,BUDGET,48578.79
145,NS10,2023,CC-10-1010,PER,PRG-AURORA,BUDGET,43880.8
146,NS10,2023,CC-10-1010,PER,,BUDGET,137349.19
147,NS10,2023,CC-10-1010,SUB,PRG-AURORA,BUDGET,393198.53
148,NS10,2023,CC-10-1010,SUB,,BUDGET,1694465.5
149,NS10,2023,CC-10-1011,DEP,,BUDGET,137218.41
150,NS10,2023,CC-10-1011,MAT,,BUDGET,1301186.82
151,NS10,2023,CC-10-1011,OTH,,BUDGET,9999.68
152,NS10,2023,CC-10-1011,OVH,,BUDGET,84536.53
153,NS10,2023,CC-10-1011,PER,,BUDGET,184389.82
154,NS10,2023,CC-10-1011,SUB,,BUDGET,2439599.2
155,NS10,2023,CC-10-1012,DEP,PRG-AURORA,BUDGET,30958.67
156,NS10,2023,CC-10-1012,DEP,PRG-HELIOS,BUDGET,48187.13
157,NS10,2023,CC-10-1012,DEP,,BUDGET,39713.43
158,NS10,2023,CC-10-1012,MAT,PRG-AURORA,BUDGET,238505.15
159,NS10,2023,CC-10-1012,MAT,PRG-HELIOS,BUDGET,620333.1
160,NS10,2023,CC-10-1012,MAT,,BUDGET,461216.87
161,NS10,2023,CC-10-1012,OTH,PRG-HELIOS,BUDGET,10686.16
162,NS10,2023,CC-10-1012,OVH,PRG-AURORA,BUDGET,14094.4
163,NS10,2023,CC-10-1012,OVH,PRG-HELIOS,BUDGET,42828.51
164,NS10,2023,CC-10-1012,OVH,,BUDGET,33886.4
165,NS10,2023,CC-10-1012,PER,PRG-AURORA,BUDGET,29214.12
166,NS10,2023,CC-10-1012,PER,PRG-HELIOS,BUDGET,100780.01
167,NS10,2023,CC-10-1012,PER,,BUDGET,61304.72
168,NS10,2023,CC-10-1012,SUB,PRG-AURORA,BUDGET,514903.35
169,NS10,2023,CC-10-1012,SUB,PRG-HELIOS,BUDGET,1023166.61
170,NS10,2023,CC-10-1012,SUB,,BUDGET,642722.44
171,NS10,2023,CC-10-1013,DEP,PRG-AURORA,BUDGET,22668.42
172,NS10,2023,CC-10-1013,DEP,PRG-HELIOS,BUDGET,24568.4
173,NS10,2023,CC-10-1013,DEP,PRG-KESTREL,BUDGET,38790.65
174,NS10,2023,CC-10-1013,DEP,,BUDGET,61555.47
175,NS10,2023,CC-10-1013,MAT,PRG-AURORA,BUDGET,305650.14
176,NS10,2023,CC-10-1013,MAT,PRG-HELIOS,BUDGET,302030.21
177,NS10,2023,CC-10-1013,MAT,PRG-KESTREL,BUDGET,259159.76
178,NS10,2023,CC-10-1013,MAT,,BUDGET,425977.03
179,NS10,2023,CC-10-1013,OVH,PRG-AURORA,BUDGET,15672.5
180,NS10,2023,CC-10-1013,OVH,PRG-HELIOS,BUDGET,19845.22
181,NS10,2023,CC-10-1013,OVH,PRG-KESTREL,BUDGET,19971.56
182,NS10,2023,CC-10-1013,OVH,,BUDGET,28984.35
183,NS10,2023,CC-10-1013,PER,PRG-AURORA,BUDGET,46016.07
184,NS10,2023,CC-10-1013,PER,PRG-HELIOS,BUDGET,53191.72
185,NS10,2023,CC-10-1013,PER,PRG-KESTREL,BUDGET,39685.75
186,NS10,2023,CC-10-1013,PER,,BUDGET,64606.92
187,NS10,2023,CC-10-1013,SUB,PRG-AURORA,BUDGET,353017.04
188,NS10,2023,CC-10-1013,SUB,PRG-HELIOS,BUDGET,653423.77
189,NS10,2023,CC-10-1013,SUB,PRG-KESTREL,BUDGET,743372.14
190,NS10,2023,CC-10-1013,SUB,,BUDGET,919130.42
191,NS10,2023,CC-10-1014,DEP,PRG-AURORA,BUDGET,39664.06
192,NS10,2023,CC-10-1014,DEP,PRG-KESTREL,BUDGET,64067.8
193,NS10,2023,CC-10-1014,DEP,,BUDGET,48596.53
194,NS10,2023,CC-10-1014,MAT,PRG-AURORA,BUDGET,210710.28
195,NS10,2023,CC-10-1014,MAT,PRG-KESTREL,BUDGET,630606.01
196,NS10,2023,CC-10-1014,MAT,,BUDGET,531694.11
197,NS10,2023,CC-10-1014,OTH,PRG-KESTREL,BUDGET,7273.06
198,NS10,2023,CC-10-1014,OVH,PRG-AURORA,BUDGET,11577.66
199,NS10,2023,CC-10-1014,OVH,PRG-KESTREL,BUDGET,49104.75
200,NS10,2023,CC-10-1014,OVH,,BUDGET,35915.81
