close_task_id,company_code,fiscal_year,fiscal_period,task_id,period_end_date,due_date,actual_completion_date,completed_by_user_id,delay_working_days
1,NS10,2023,1,T01,2023-01-31,2023-02-01,2023-02-01,USR-F9C262,0.0
2,NS10,2023,1,T02,2023-01-31,2023-02-01,2023-02-01,USR-86C753,0.0
3,NS10,2023,1,T03,2023-01-31,2023-02-02,2023-02-06,USR-160088,2.0
4,NS10,2023,1,T04,2023-01-31,2023-02-02,2023-02-01,USR-339381,-1.0
5,NS10,2023,1,T05,2023-01-31,2023-02-02,2023-02-02,USR-A4D458,0.0
6,NS10,2023,1,T06,2023-01-31,2023-02-03,2023-02-03,USR-B286B6,0.0
7,NS10,2023,1,T07,2023-01-31,2023-02-03,2023-02-03,USR-734C7E,0.0
8,NS10,2023,1,T08,2023-01-31,2023-02-03,2023-02-02,USR-C621FB,-1.0
9,NS10,2023,1,T09,2023-01-31,2023-02-06,2023-02-07,USR-D2A081,1.0
10,NS10,2023,1,T10,2023-01-31,2023-02-06,2023-02-03,USR-DBCD12,-1.0
11,NS10,2023,1,T11,2023-01-31,2023-02-07,2023-02-07,USR-6EDA16,0.0
12,NS10,2023,1,T12,2023-01-31,2023-02-07,2023-02-08,USR-B286B6,1.0
13,NS10,2023,2,T01,2023-02-28,2023-03-01,2023-03-02,USR-F9C262,1.0
14,NS10,2023,2,T02,2023-02-28,2023-03-01,2023-03-01,USR-801710,0.0
15,NS10,2023,2,T03,2023-02-28,2023-03-02,2023-03-06,USR-C2DA0D,2.0
16,NS10,2023,2,T04,2023-02-28,2023-03-02,2023-03-02,USR-F9C262,0.0
17,NS10,2023,2,T05,2023-02-28,2023-03-02,2023-03-06,USR-B286B6,2.0
18,NS10,2023,2,T06,2023-02-28,2023-03-03,2023-03-06,USR-6704A0,1.0
19,NS10,2023,2,T07,2023-02-28,2023-03-03,2023-03-03,USR-B7AC97,0.0
20,NS10,2023,2,T08,2023-02-28,2023-03-03,2023-03-06,USR-BC5A44,1.0
21,NS10,2023,2,T09,2023-02-28,2023-03-06,2023-03-06,USR-ED4078,0.0
22,NS10,2023,2,T10,2023-02-28,2023-03-06,2023-03-07,USR-20CC0E,1.0
23,NS10,2023,2,T11,2023-02-28,2023-03-07,2023-03-07,USR-20CC0E,0.0
