forecast_id,company_code,cost_center,programme_id,fiscal_year,fiscal_period,version,snapshot_date,horizon_periods,amount_group_currency
1,NS10,CC-10-1001,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,195537.41
2,NS10,CC-10-1001,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,226444.63
3,NS10,CC-10-1001,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,286477.97
4,NS10,CC-10-1001,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,474553.84
5,NS10,CC-10-1001,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,153813.46
6,NS10,CC-10-1001,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,255671.95
7,NS10,CC-10-1001,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,286532.36
8,NS10,CC-10-1001,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,181529.78
9,NS10,CC-10-1001,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,225260.51
10,NS10,CC-10-1001,,2023,4,FC-Q1,2023-04-11,1,153958.65
11,NS10,CC-10-1001,,2023,5,FC-Q1,2023-04-11,2,117627.03
12,NS10,CC-10-1001,,2023,6,FC-Q1,2023-04-11,3,74227.62
13,NS10,CC-10-1001,,2023,7,FC-Q1,2023-04-11,4,50831.63
14,NS10,CC-10-1001,,2023,8,FC-Q1,2023-04-11,5,118543.32
15,NS10,CC-10-1001,,2023,9,FC-Q1,2023-04-11,6,114955.3
16,NS10,CC-10-1001,,2023,10,FC-Q1,2023-04-11,7,64306.38
17,NS10,CC-10-1001,,2023,11,FC-Q1,2023-04-11,8,109579.21
18,NS10,CC-10-1001,,2023,12,FC-Q1,2023-04-11,9,102074.66
19,NS10,CC-10-1002,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,55670.34
20,NS10,CC-10-1002,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,68530.79
21,NS10,CC-10-1002,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,68382.77
22,NS10,CC-10-1002,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,74288.86
23,NS10,CC-10-1002,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,83557.19
24,NS10,CC-10-1002,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,47073.22
25,NS10,CC-10-1002,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,180700.38
26,NS10,CC-10-1002,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,44122.19
27,NS10,CC-10-1002,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,61588.81
28,NS10,CC-10-1002,PRG-MERIDIAN,2023,4,FC-Q1,2023-04-11,1,72044.86
29,NS10,CC-10-1002,PRG-MERIDIAN,2023,5,FC-Q1,2023-04-11,2,67984.6
30,NS10,CC-10-1002,PRG-MERIDIAN,2023,6,FC-Q1,2023-04-11,3,81078.55
31,NS10,CC-10-1002,PRG-MERIDIAN,2023,7,FC-Q1,2023-04-11,4,74264.93
32,NS10,CC-10-1002,PRG-MERIDIAN,2023,8,FC-Q1,2023-04-11,5,77732.34
33,NS10,CC-10-1002,PRG-MERIDIAN,2023,9,FC-Q1,2023-04-11,6,88237.75
34,NS10,CC-10-1002,PRG-MERIDIAN,2023,10,FC-Q1,2023-04-11,7,86832.3
35,NS10,CC-10-1002,PRG-MERIDIAN,2023,11,FC-Q1,2023-04-11,8,48816.53
36,NS10,CC-10-1002,PRG-MERIDIAN,2023,12,FC-Q1,2023-04-11,9,75767.57
37,NS10,CC-10-1002,,2023,4,FC-Q1,2023-04-11,1,226696.53
38,NS10,CC-10-1002,,2023,5,FC-Q1,2023-04-11,2,186889.56
39,NS10,CC-10-1002,,2023,6,FC-Q1,2023-04-11,3,234381.53
40,NS10,CC-10-1002,,2023,7,FC-Q1,2023-04-11,4,157915.29
41,NS10,CC-10-1002,,2023,8,FC-Q1,2023-04-11,5,161399.73
42,NS10,CC-10-1002,,2023,9,FC-Q1,2023-04-11,6,183473.42
43,NS10,CC-10-1002,,2023,10,FC-Q1,2023-04-11,7,256588.97
44,NS10,CC-10-1002,,2023,11,FC-Q1,2023-04-11,8,281546.28
45,NS10,CC-10-1002,,2023,12,FC-Q1,2023-04-11,9,209058.45
46,NS10,CC-10-1003,PRG-HELIOS,2023,4,FC-Q1,2023-04-11,1,63267.5
47,NS10,CC-10-1003,PRG-HELIOS,2023,5,FC-Q1,2023-04-11,2,96030.18
48,NS10,CC-10-1003,PRG-HELIOS,2023,6,FC-Q1,2023-04-11,3,101223.22
49,NS10,CC-10-1003,PRG-HELIOS,2023,7,FC-Q1,2023-04-11,4,50370.28
50,NS10,CC-10-1003,PRG-HELIOS,2023,8,FC-Q1,2023-04-11,5,138254.27
51,NS10,CC-10-1003,PRG-HELIOS,2023,9,FC-Q1,2023-04-11,6,64902.07
52,NS10,CC-10-1003,PRG-HELIOS,2023,10,FC-Q1,2023-04-11,7,57549.58
53,NS10,CC-10-1003,PRG-HELIOS,2023,11,FC-Q1,2023-04-11,8,80361.1
54,NS10,CC-10-1003,PRG-HELIOS,2023,12,FC-Q1,2023-04-11,9,107232.25
55,NS10,CC-10-1003,PRG-KESTREL,2023,4,FC-Q1,2023-04-11,1,66458.71
56,NS10,CC-10-1003,PRG-KESTREL,2023,5,FC-Q1,2023-04-11,2,128543.42
57,NS10,CC-10-1003,PRG-KESTREL,2023,6,FC-Q1,2023-04-11,3,16128.83
58,NS10,CC-10-1003,PRG-KESTREL,2023,7,FC-Q1,2023-04-11,4,97791.46
59,NS10,CC-10-1003,PRG-KESTREL,2023,8,FC-Q1,2023-04-11,5,36038.6
60,NS10,CC-10-1003,PRG-KESTREL,2023,9,FC-Q1,2023-04-11,6,113598.37
61,NS10,CC-10-1003,PRG-KESTREL,2023,10,FC-Q1,2023-04-11,7,96314.93
62,NS10,CC-10-1003,PRG-KESTREL,2023,11,FC-Q1,2023-04-11,8,111990.59
63,NS10,CC-10-1003,PRG-KESTREL,2023,12,FC-Q1,2023-04-11,9,62480.28
64,NS10,CC-10-1003,,2023,4,FC-Q1,2023-04-11,1,97546.37
65,NS10,CC-10-1003,,2023,5,FC-Q1,2023-04-11,2,115165.36
66,NS10,CC-10-1003,,2023,6,FC-Q1,2023-04-11,3,170182.19
67,NS10,CC-10-1003,,2023,7,FC-Q1,2023-04-11,4,205675.01
68,NS10,CC-10-1003,,2023,8,FC-Q1,2023-04-11,5,164404.26
69,NS10,CC-10-1003,,2023,9,FC-Q1,2023-04-11,6,128679.73
70,NS10,CC-10-1003,,2023,10,FC-Q1,2023-04-11,7,163305.09
71,NS10,CC-10-1003,,2023,11,FC-Q1,2023-04-11,8,171192.12
72,NS10,CC-10-1003,,2023,12,FC-Q1,2023-04-11,9,153924.28
73,NS10,CC-10-1004,PRG-KESTREL,2023,4,FC-Q1,2023-04-11,1,90898.68
74,NS10,CC-10-1004,PRG-KESTREL,2023,5,FC-Q1,2023-04-11,2,62170.74
75,NS10,CC-10-1004,PRG-KESTREL,2023,6,FC-Q1,2023-04-11,3,78696.95
76,NS10,CC-10-1004,PRG-KESTREL,2023,7,FC-Q1,2023-04-11,4,139513.59
77,NS10,CC-10-1004,PRG-KESTREL,2023,8,FC-Q1,2023-04-11,5,63051.33
78,NS10,CC-10-1004,PRG-KESTREL,2023,9,FC-Q1,2023-04-11,6,175545.21
79,NS10,CC-10-1004,PRG-KESTREL,2023,10,FC-Q1,2023-04-11,7,30667.96
80,NS10,CC-10-1004,PRG-KESTREL,2023,11,FC-Q1,2023-04-11,8,2512.13
81,NS10,CC-10-1004,PRG-KESTREL,2023,12,FC-Q1,2023-04-11,9,47015.3
82,NS10,CC-10-1004,PRG-TERRA,2023,4,FC-Q1,2023-04-11,1,60742.08
83,NS10,CC-10-1004,PRG-TERRA,2023,5,FC-Q1,2023-04-11,2,84384.45
84,NS10,CC-10-1004,PRG-TERRA,2023,6,FC-Q1,2023-04-11,3,31482.31
85,NS10,CC-10-1004,PRG-TERRA,2023,7,FC-Q1,2023-04-11,4,129862.45
86,NS10,CC-10-1004,PRG-TERRA,2023,8,FC-Q1,2023-04-11,5,59659.07
87,NS10,CC-10-1004,PRG-TERRA,2023,9,FC-Q1,2023-04-11,6,107334.55
88,NS10,CC-10-1004,PRG-TERRA,2023,10,FC-Q1,2023-04-11,7,130159.48
89,NS10,CC-10-1004,PRG-TERRA,2023,11,FC-Q1,2023-04-11,8,74715.63
90,NS10,CC-10-1004,PRG-TERRA,2023,12,FC-Q1,2023-04-11,9,53205.16
91,NS10,CC-10-1004,,2023,4,FC-Q1,2023-04-11,1,139612.52
92,NS10,CC-10-1004,,2023,5,FC-Q1,2023-04-11,2,168233.1
93,NS10,CC-10-1004,,2023,6,FC-Q1,2023-04-11,3,147169.19
94,NS10,CC-10-1004,,2023,7,FC-Q1,2023-04-11,4,174304.74
95,NS10,CC-10-1004,,2023,8,FC-Q1,2023-04-11,5,124767.72
96,NS10,CC-10-1004,,2023,9,FC-Q1,2023-04-11,6,179688.25
97,NS10,CC-10-1004,,2023,10,FC-Q1,2023-04-11,7,153807.98
98,NS10,CC-10-1004,,2023,11,FC-Q1,2023-04-11,8,122782.63
99,NS10,CC-10-1004,,2023,12,FC-Q1,2023-04-11,9,199573.19
100,NS10,CC-10-1005,PRG-AURORA,2023,4,FC-Q1,2023-04-11,1,61957.94
101,NS10,CC-10-1005,PRG-AURORA,2023,5,FC-Q1,2023-04-11,2,56001.57
102,NS10,CC-10-1005,PRG-AURORA,2023,6,FC-Q1,2023-04-11,3,176047.14
103,NS10,CC-10-1005,PRG-AURORA,2023,7,FC-Q1,2023-04-11,4,74945.97
