journal_id,company_code,document_number,document_line,document_type,posting_date,document_date,entry_date,fiscal_year,fiscal_period,gl_account,cost_center,programme_id,debit_credit_ind,amount_doc_currency,doc_currency,amount_local_currency,local_currency,amount_group_currency,group_currency,is_intercompany,ic_partner_company,posting_user_id,is_reversal,reversed_document
1,NS10,1000000001,1,WA,2023-01-24,2023-01-24,2023-01-24,2023,1,500190,CC-10-1009,,S,4711.14,EUR,4711.14,EUR,4711.14,EUR,false,,USR-B286B6,false,
2,NS10,1000000001,2,WA,2023-01-24,2023-01-24,2023-01-24,2023,1,500020,CC-10-1005,,S,1608.01,EUR,1608.01,EUR,1608.01,EUR,false,,USR-B286B6,false,
3,NS10,1000000001,3,WA,2023-01-24,2023-01-24,2023-01-24,2023,1,500180,CC-10-1021,PRG-HELIOS,S,3658.99,EUR,3658.99,EUR,3658.99,EUR,false,,USR-B286B6,false,
4,NS10,1000000002,1,SA,2023-01-12,2023-01-12,2023-02-03,2023,1,610180,CC-10-1048,,S,4336.62,EUR,4336.62,EUR,4336.62,EUR,false,,USR-8362D1,false,
5,NS10,1000000002,2,SA,2023-01-12,2023-01-12,2023-02-03,2023,1,500070,CC-10-1008,,S,4556.33,EUR,4556.33,EUR,4556.33,EUR,false,,USR-8362D1,false,
6,NS10,1000000003,1,RV,2023-01-30,2023-01-27,2023-01-30,2023,1,400070,,,H,32744.79,EUR,32744.79,EUR,32744.79,EUR,false,,USR-DBCD12,false,
7,NS10,1000000004,1,WA,2023-01-25,2023-01-25,2023-01-25,2023,1,500060,CC-10-1010,,S,3591.75,EUR,3591.75,EUR,3591.75,EUR,false,,USR-8BA13E,false,
8,NS10,1000000004,2,WA,2023-01-25,2023-01-25,2023-01-25,2023,1,500000,CC-10-1034,,S,2900.63,EUR,2900.63,EUR,2900.63,EUR,false,,USR-8BA13E,false,
9,NS10,1000000005,1,KR,2023-01-10,2023-01-08,2023-01-10,2023,1,610110,CC-10-1004,,S,9905.1,EUR,9905.1,EUR,9905.1,EUR,false,,USR-D2A081,false,
10,NS10,1000000006,1,KR,2023-01-17,2023-01-15,2023-01-17,2023,1,650210,CC-10-1011,,S,400.37,EUR,400.37,EUR,400.37,EUR,false,,USR-181C01,false,
11,NS10,1000000006,2,KR,2023-01-17,2023-01-15,2023-01-17,2023,1,650150,CC-10-1001,PRG-HELIOS,S,253.11,EUR,253.11,EUR,253.11,EUR,false,,USR-181C01,false,
12,NS10,1000000006,3,KR,2023-01-17,2023-01-15,2023-01-17,2023,1,500050,CC-10-1033,PRG-TERRA,S,4564.45,EUR,4564.45,EUR,4564.45,EUR,false,,USR-181C01,false,
13,NS10,1000000007,1,RE,2023-01-24,2023-01-22,2023-01-24,2023,1,500120,CC-10-1036,,S,5752.96,EUR,5752.96,EUR,5752.96,EUR,false,,USR-BC5A44,false,
14,NS10,1000000007,2,RE,2023-01-24,2023-01-22,2023-01-24,2023,1,610100,CC-10-1009,,S,5133.78,EUR,5133.78,EUR,5133.78,EUR,false,,USR-BC5A44,false,
15,NS10,1000000007,3,RE,2023-01-24,2023-01-22,2023-01-24,2023,1,500040,CC-10-1023,,S,4066.1,EUR,4066.1,EUR,4066.1,EUR,false,,USR-BC5A44,false,
16,NS10,1000000008,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680130,CC-10-1015,,S,990.18,EUR,990.18,EUR,990.18,EUR,false,,USR-C2DA0D,false,
17,NS10,1000000009,1,IC,2023-01-27,2023-01-27,2023-02-03,2023,1,650050,CC-10-1047,,S,447.67,EUR,447.67,EUR,447.67,EUR,true,NS20,USR-C621FB,false,
18,NS10,1000000010,1,SA,2023-01-05,2023-01-05,2023-02-06,2023,1,500080,CC-10-1002,PRG-HELIOS,S,2531.32,EUR,2531.32,EUR,2531.32,EUR,false,,USR-6704A0,false,
19,NS10,1000000011,1,SB,2023-01-31,2023-01-31,2023-02-02,2023,1,600240,CC-10-1047,PRG-HELIOS,S,641.21,EUR,641.21,EUR,641.21,EUR,false,,USR-ED4078,false,
20,NS10,1000000012,1,SB,2023-01-31,2023-01-31,2023-02-01,2023,1,600040,CC-10-1033,PRG-TERRA,S,703.42,EUR,703.42,EUR,703.42,EUR,false,,USR-181C01,false,
21,NS10,1000000013,1,SA,2023-01-27,2023-01-27,2023-02-06,2023,1,500130,CC-10-1034,PRG-HELIOS,S,2659.5,EUR,2659.5,EUR,2659.5,EUR,false,,USR-8362D1,false,
22,NS10,1000000013,2,SA,2023-01-27,2023-01-27,2023-02-06,2023,1,600140,CC-10-1015,,S,1066.0,EUR,1066.0,EUR,1066.0,EUR,false,,USR-8362D1,false,
23,NS10,1000000014,1,KR,2023-01-17,2023-01-12,2023-01-17,2023,1,610010,CC-10-1014,PRG-KESTREL,S,3716.83,GBP,4317.86,EUR,4317.86,EUR,false,,USR-F9C262,false,
24,NS10,1000000014,2,KR,2023-01-17,2023-01-12,2023-01-17,2023,1,650070,CC-10-1041,PRG-HELIOS,S,438.47,GBP,509.37,EUR,509.37,EUR,false,,USR-F9C262,false,
25,NS10,1000000015,1,KR,2023-01-24,2023-01-21,2023-01-25,2023,1,650290,CC-10-1042,,S,300.91,EUR,300.91,EUR,300.91,EUR,false,,USR-160088,false,
26,NS10,1000000015,2,KR,2023-01-24,2023-01-21,2023-01-25,2023,1,500020,CC-10-1006,PRG-HELIOS,S,2083.56,EUR,2083.56,EUR,2083.56,EUR,false,,USR-160088,false,
27,NS10,1000000015,3,KR,2023-01-24,2023-01-21,2023-01-25,2023,1,650000,CC-10-1046,,S,644.68,EUR,644.68,EUR,644.68,EUR,false,,USR-160088,false,
