from_currency,to_currency,fiscal_year,fiscal_period,rate_type,exchange_rate
EUR,EUR,2023,1,M,1.0
EUR,EUR,2023,1,B,1.0
EUR,EUR,2023,2,M,1.0
EUR,EUR,2023,2,B,1.0
EUR,EUR,2023,3,M,1.0
EUR,EUR,2023,3,B,1.0
EUR,EUR,2023,4,M,1.0
EUR,EUR,2023,4,B,1.0
EUR,EUR,2023,5,M,1.0
EUR,EUR,2023,5,B,1.0
EUR,EUR,2023,6,M,1.0
EUR,EUR,2023,6,B,1.0
EUR,EUR,2023,7,M,1.0
EUR,EUR,2023,7,B,1.0
EUR,EUR,2023,8,M,1.0
EUR,EUR,2023,8,B,1.0
EUR,EUR,2023,9,M,1.0
EUR,EUR,2023,9,B,1.0
EUR,EUR,2023,10,M,1.0
EUR,EUR,2023,10,B,1.0
EUR,EUR,2023,11,M,1.0
EUR,EUR,2023,11,B,1.0
EUR,EUR,2023,12,M,1.0
EUR,EUR,2023,12,B,1.0
EUR,EUR,2024,1,M,1.0
EUR,EUR,2024,1,B,1.0
EUR,EUR,2024,2,M,1.0
EUR,EUR,2024,2,B,1.0
EUR,EUR,2024,3,M,1.0
EUR,EUR,2024,3,B,1.0
EUR,EUR,2024,4,M,1.0
EUR,EUR,2024,4,B,1.0
EUR,EUR,2024,5,M,1.0
EUR,EUR,2024,5,B,1.0
EUR,EUR,2024,6,M,1.0
EUR,EUR,2024,6,B,1.0
EUR,EUR,2024,7,M,1.0
EUR,EUR,2024,7,B,1.0
EUR,EUR,2024,8,M,1.0
EUR,EUR,2024,8,B,1.0
EUR,EUR,2024,9,M,1.0
EUR,EUR,2024,9,B,1.0
EUR,EUR,2024,10,M,1.0
EUR,EUR,2024,10,B,1.0
EUR,EUR,2024,11,M,1.0
EUR,EUR,2024,11,B,1.0
EUR,EUR,2024,12,M,1.0
EUR,EUR,2024,12,B,1.0
EUR,EUR,2025,1,M,1.0
EUR,EUR,2025,1,B,1.0
EUR,EUR,2025,2,M,1.0
EUR,EUR,2025,2,B,1.0
EUR,EUR,2025,3,M,1.0
EUR,EUR,2025,3,B,1.0
EUR,EUR,2025,4,M,1.0
EUR,EUR,2025,4,B,1.0
EUR,EUR,2025,5,M,1.0
EUR,EUR,2025,5,B,1.0
EUR,EUR,2025,6,M,1.0
EUR,EUR,2025,6,B,1.0
EUR,EUR,2025,7,M,1.0
EUR,EUR,2025,7,B,1.0
EUR,EUR,2025,8,M,1.0
EUR,EUR,2025,8,B,1.0
EUR,EUR,2025,9,M,1.0
EUR,EUR,2025,9,B,1.0
EUR,EUR,2025,10,M,1.0
EUR,EUR,2025,10,B,1.0
EUR,EUR,2025,11,M,1.0
EUR,EUR,2025,11,B,1.0
EUR,EUR,2025,12,M,1.0
EUR,EUR,2025,12,B,1.0
EUR,EUR,2026,1,M,1.0
EUR,EUR,2026,1,B,1.0
EUR,EUR,2026,2,M,1.0
EUR,EUR,2026,2,B,1.0
EUR,EUR,2026,3,M,1.0
EUR,EUR,2026,3,B,1.0
EUR,EUR,2026,4,M,1.0
EUR,EUR,2026,4,B,1.0
EUR,EUR,2026,5,M,1.0
EUR,EUR,2026,5,B,1.0
EUR,EUR,2026,6,M,1.0
EUR,EUR,2026,6,B,1.0
EUR,EUR,2026,7,M,1.0
EUR,EUR,2026,7,B,1.0
EUR,EUR,2026,8,M,1.0
EUR,EUR,2026,8,B,1.0
EUR,EUR,2026,9,M,1.0
EUR,EUR,2026,9,B,1.0
EUR,EUR,2026,10,M,1.0
EUR,EUR,2026,10,B,1.0
EUR,EUR,2026,11,M,1.0
EUR,EUR,2026,11,B,1.0
EUR,EUR,2026,12,M,1.0
EUR,EUR,2026,12,B,1.0
GBP,EUR,2023,1,M,1.161706
GBP,EUR,2023,1,B,1.168
GBP,EUR,2023,2,M,1.151518
GBP,EUR,2023,2,B,1.168
GBP,EUR,2023,3,M,1.144951
GBP,EUR,2023,3,B,1.168
GBP,EUR,2023,4,M,1.144027
GBP,EUR,2023,4,B,1.168
GBP,EUR,2023,5,M,1.155974
GBP,EUR,2023,5,B,1.168
GBP,EUR,2023,6,M,1.144717
GBP,EUR,2023,6,B,1.168
GBP,EUR,2023,7,M,1.147551
GBP,EUR,2023,7,B,1.168
GBP,EUR,2023,8,M,1.145076
GBP,EUR,2023,8,B,1.168
GBP,EUR,2023,9,M,1.144218
GBP,EUR,2023,9,B,1.168
