company_code,programme_id,account_group,fiscal_year,fiscal_period,period_date,fiscal_period_label,version,amount_group_currency
NS10,(none),DEP,2023,1,2023-01-01,2023-01,ACTUAL,354954.77
NS10,(none),DEP,2023,2,2023-02-01,2023-02,ACTUAL,376868.33
NS10,(none),DEP,2023,3,2023-03-01,2023-03,ACTUAL,311772.0
NS10,(none),DEP,2023,4,2023-04-01,2023-04,ACTUAL,296377.29
NS10,(none),DEP,2023,5,2023-05-01,2023-05,ACTUAL,292303.33
NS10,(none),DEP,2023,6,2023-06-01,2023-06,ACTUAL,330417.3
NS10,(none),DEP,2023,7,2023-07-01,2023-07,ACTUAL,345734.6
NS10,(none),DEP,2023,8,2023-08-01,2023-08,ACTUAL,324764.8
NS10,(none),DEP,2023,9,2023-09-01,2023-09,ACTUAL,326591.56
NS10,(none),DEP,2023,10,2023-10-01,2023-10,ACTUAL,315068.53
NS10,(none),DEP,2023,11,2023-11-01,2023-11,ACTUAL,222749.95
NS10,(none),DEP,2023,12,2023-12-01,2023-12,ACTUAL,266139.1
NS10,(none),DEP,2024,1,2024-01-01,2024-01,ACTUAL,194870.71
NS10,(none),DEP,2024,2,2024-02-01,2024-02,ACTUAL,221085.23
NS10,(none),DEP,2024,3,2024-03-01,2024-03,ACTUAL,214572.5
NS10,(none),DEP,2024,4,2024-04-01,2024-04,ACTUAL,340618.62
NS10,(none),DEP,2024,5,2024-05-01,2024-05,ACTUAL,289739.04
NS10,(none),DEP,2024,6,2024-06-01,2024-06,ACTUAL,185886.72
NS10,(none),DEP,2024,7,2024-07-01,2024-07,ACTUAL,195031.96
NS10,(none),DEP,2024,8,2024-08-01,2024-08,ACTUAL,167419.78
NS10,(none),DEP,2024,9,2024-09-01,2024-09,ACTUAL,283658.46
NS10,(none),DEP,2024,10,2024-10-01,2024-10,ACTUAL,219969.84
NS10,(none),DEP,2024,11,2024-11-01,2024-11,ACTUAL,237310.27
NS10,(none),DEP,2024,12,2024-12-01,2024-12,ACTUAL,206844.38
NS10,(none),DEP,2025,1,2025-01-01,2025-01,ACTUAL,207649.43
NS10,(none),DEP,2025,2,2025-02-01,2025-02,ACTUAL,170897.39
NS10,(none),DEP,2025,3,2025-03-01,2025-03,ACTUAL,180766.57
NS10,(none),DEP,2025,4,2025-04-01,2025-04,ACTUAL,224843.83
NS10,(none),DEP,2025,5,2025-05-01,2025-05,ACTUAL,180689.41
NS10,(none),DEP,2025,6,2025-06-01,2025-06,ACTUAL,186064.23
NS10,(none),DEP,2025,7,2025-07-01,2025-07,ACTUAL,206283.31
NS10,(none),DEP,2025,8,2025-08-01,2025-08,ACTUAL,181188.62
NS10,(none),DEP,2025,9,2025-09-01,2025-09,ACTUAL,183387.99
NS10,(none),DEP,2025,10,2025-10-01,2025-10,ACTUAL,166980.36
NS10,(none),DEP,2025,11,2025-11-01,2025-11,ACTUAL,170658.12
NS10,(none),DEP,2025,12,2025-12-01,2025-12,ACTUAL,203068.3
NS10,(none),DEP,2026,1,2026-01-01,2026-01,ACTUAL,174043.22
NS10,(none),DEP,2026,2,2026-02-01,2026-02,ACTUAL,178800.16999999998
NS10,(none),DEP,2026,3,2026-03-01,2026-03,ACTUAL,173210.17
NS10,(none),DEP,2026,4,2026-04-01,2026-04,ACTUAL,190144.74
NS10,(none),DEP,2026,5,2026-05-01,2026-05,ACTUAL,196197.89
NS10,(none),DEP,2026,6,2026-06-01,2026-06,ACTUAL,144903.57
NS10,(none),MAT,2023,1,2023-01-01,2023-01,ACTUAL,3550380.43
NS10,(none),MAT,2023,2,2023-02-01,2023-02,ACTUAL,3163217.09
NS10,(none),MAT,2023,3,2023-03-01,2023-03,ACTUAL,3967742.48
NS10,(none),MAT,2023,4,2023-04-01,2023-04,ACTUAL,2952630.51
NS10,(none),MAT,2023,5,2023-05-01,2023-05,ACTUAL,3007885.16
NS10,(none),MAT,2023,6,2023-06-01,2023-06,ACTUAL,2888385.54
NS10,(none),MAT,2023,7,2023-07-01,2023-07,ACTUAL,3298195.9
NS10,(none),MAT,2023,8,2023-08-01,2023-08,ACTUAL,2883132.19
NS10,(none),MAT,2023,9,2023-09-01,2023-09,ACTUAL,2865164.43
NS10,(none),MAT,2023,10,2023-10-01,2023-10,ACTUAL,3062038.56
NS10,(none),MAT,2023,11,2023-11-01,2023-11,ACTUAL,2586472.43
NS10,(none),MAT,2023,12,2023-12-01,2023-12,ACTUAL,2963561.2
NS10,(none),MAT,2024,1,2024-01-01,2024-01,ACTUAL,2533352.4
NS10,(none),MAT,2024,2,2024-02-01,2024-02,ACTUAL,2499536.04
NS10,(none),MAT,2024,3,2024-03-01,2024-03,ACTUAL,2379569.38
NS10,(none),MAT,2024,4,2024-04-01,2024-04,ACTUAL,2525765.63
NS10,(none),MAT,2024,5,2024-05-01,2024-05,ACTUAL,2654679.3
NS10,(none),MAT,2024,6,2024-06-01,2024-06,ACTUAL,2534356.64
NS10,(none),MAT,2024,7,2024-07-01,2024-07,ACTUAL,2108065.44
NS10,(none),MAT,2024,8,2024-08-01,2024-08,ACTUAL,2381915.54
NS10,(none),MAT,2024,9,2024-09-01,2024-09,ACTUAL,2095563.06
NS10,(none),MAT,2024,10,2024-10-01,2024-10,ACTUAL,2114232.8
NS10,(none),MAT,2024,11,2024-11-01,2024-11,ACTUAL,2308615.85
NS10,(none),MAT,2024,12,2024-12-01,2024-12,ACTUAL,2115951.91
NS10,(none),MAT,2025,1,2025-01-01,2025-01,ACTUAL,1790211.59
NS10,(none),MAT,2025,2,2025-02-01,2025-02,ACTUAL,2090380.22
NS10,(none),MAT,2025,3,2025-03-01,2025-03,ACTUAL,1972571.0
NS10,(none),MAT,2025,4,2025-04-01,2025-04,ACTUAL,1775014.31
NS10,(none),MAT,2025,5,2025-05-01,2025-05,ACTUAL,1736348.73
NS10,(none),MAT,2025,6,2025-06-01,2025-06,ACTUAL,1808244.05
NS10,(none),MAT,2025,7,2025-07-01,2025-07,ACTUAL,1709453.0
NS10,(none),MAT,2025,8,2025-08-01,2025-08,ACTUAL,1906468.7
NS10,(none),MAT,2025,9,2025-09-01,2025-09,ACTUAL,1833904.81
NS10,(none),MAT,2025,10,2025-10-01,2025-10,ACTUAL,1685507.88
NS10,(none),MAT,2025,11,2025-11-01,2025-11,ACTUAL,1793472.05
NS10,(none),MAT,2025,12,2025-12-01,2025-12,ACTUAL,1839573.23
NS10,(none),MAT,2026,1,2026-01-01,2026-01,ACTUAL,1864324.89
NS10,(none),MAT,2026,2,2026-02-01,2026-02,ACTUAL,1545193.2
NS10,(none),MAT,2026,3,2026-03-01,2026-03,ACTUAL,1788042.79
NS10,(none),MAT,2026,4,2026-04-01,2026-04,ACTUAL,2139030.23
NS10,(none),MAT,2026,5,2026-05-01,2026-05,ACTUAL,2033247.53
NS10,(none),MAT,2026,6,2026-06-01,2026-06,ACTUAL,1804390.8
NS10,(none),OTH,2023,1,2023-01-01,2023-01,ACTUAL,45030.52
NS10,(none),OTH,2023,2,2023-02-01,2023-02,ACTUAL,32308.43
NS10,(none),OTH,2023,3,2023-03-01,2023-03,ACTUAL,57684.49
NS10,(none),OTH,2023,4,2023-04-01,2023-04,ACTUAL,39295.73
NS10,(none),OTH,2023,5,2023-05-01,2023-05,ACTUAL,34434.67
NS10,(none),OTH,2023,6,2023-06-01,2023-06,ACTUAL,30704.6
NS10,(none),OTH,2023,7,2023-07-01,2023-07,ACTUAL,28422.239999999998
NS10,(none),OTH,2023,8,2023-08-01,2023-08,ACTUAL,23227.97
NS10,(none),OTH,2023,9,2023-09-01,2023-09,ACTUAL,45980.63
NS10,(none),OTH,2023,10,2023-10-01,2023-10,ACTUAL,35058.56
NS10,(none),OTH,2023,11,2023-11-01,2023-11,ACTUAL,33450.98
NS10,(none),OTH,2023,12,2023-12-01,2023-12,ACTUAL,46457.729999999996
NS10,(none),OTH,2024,1,2024-01-01,2024-01,ACTUAL,19455.88
NS10,(none),OTH,2024,2,2024-02-01,2024-02,ACTUAL,22333.67
NS10,(none),OTH,2024,3,2024-03-01,2024-03,ACTUAL,31729.0
NS10,(none),OTH,2024,4,2024-04-01,2024-04,ACTUAL,35018.38
NS10,(none),OTH,2024,5,2024-05-01,2024-05,ACTUAL,26935.59
NS10,(none),OTH,2024,6,2024-06-01,2024-06,ACTUAL,25889.65
NS10,(none),OTH,2024,7,2024-07-01,2024-07,ACTUAL,16588.7
NS10,(none),OTH,2024,8,2024-08-01,2024-08,ACTUAL,33579.11
NS10,(none),OTH,2024,9,2024-09-01,2024-09,ACTUAL,22050.2
NS10,(none),OTH,2024,10,2024-10-01,2024-10,ACTUAL,31265.91
NS10,(none),OTH,2024,11,2024-11-01,2024-11,ACTUAL,29189.42
NS10,(none),OTH,2024,12,2024-12-01,2024-12,ACTUAL,23430.96
NS10,(none),OTH,2025,1,2025-01-01,2025-01,ACTUAL,14370.94
NS10,(none),OTH,2025,2,2025-02-01,2025-02,ACTUAL,29441.99
NS10,(none),OTH,2025,3,2025-03-01,2025-03,ACTUAL,20199.78
NS10,(none),OTH,2025,4,2025-04-01,2025-04,ACTUAL,31362.440000000002
NS10,(none),OTH,2025,5,2025-05-01,2025-05,ACTUAL,19641.78
NS10,(none),OTH,2025,6,2025-06-01,2025-06,ACTUAL,24842.75
NS10,(none),OTH,2025,7,2025-07-01,2025-07,ACTUAL,32375.879999999997
NS10,(none),OTH,2025,8,2025-08-01,2025-08,ACTUAL,15528.52
NS10,(none),OTH,2025,9,2025-09-01,2025-09,ACTUAL,18334.02
NS10,(none),OTH,2025,10,2025-10-01,2025-10,ACTUAL,16122.29
NS10,(none),OTH,2025,11,2025-11-01,2025-11,ACTUAL,26966.4
NS10,(none),OTH,2025,12,2025-12-01,2025-12,ACTUAL,29370.920000000002
NS10,(none),OTH,2026,1,2026-01-01,2026-01,ACTUAL,37223.93
NS10,(none),OTH,2026,2,2026-02-01,2026-02,ACTUAL,18275.73
NS10,(none),OTH,2026,3,2026-03-01,2026-03,ACTUAL,16712.850000000002
NS10,(none),OTH,2026,4,2026-04-01,2026-04,ACTUAL,26796.98
NS10,(none),OTH,2026,5,2026-05-01,2026-05,ACTUAL,22163.7
NS10,(none),OTH,2026,6,2026-06-01,2026-06,ACTUAL,21961.1
NS10,(none),OVH,2023,1,2023-01-01,2023-01,ACTUAL,498345.52
NS10,(none),OVH,2023,2,2023-02-01,2023-02,ACTUAL,456465.11
NS10,(none),OVH,2023,3,2023-03-01,2023-03,ACTUAL,580777.09
NS10,(none),OVH,2023,4,2023-04-01,2023-04,ACTUAL,442332.57
NS10,(none),OVH,2023,5,2023-05-01,2023-05,ACTUAL,457029.83
NS10,(none),OVH,2023,6,2023-06-01,2023-06,ACTUAL,467606.07
NS10,(none),OVH,2023,7,2023-07-01,2023-07,ACTUAL,459378.33
NS10,(none),OVH,2023,8,2023-08-01,2023-08,ACTUAL,421522.85
NS10,(none),OVH,2023,9,2023-09-01,2023-09,ACTUAL,475467.93
NS10,(none),OVH,2023,10,2023-10-01,2023-10,ACTUAL,472501.75
NS10,(none),OVH,2023,11,2023-11-01,2023-11,ACTUAL,418148.7
NS10,(none),OVH,2023,12,2023-12-01,2023-12,ACTUAL,398005.69
NS10,(none),OVH,2024,1,2024-01-01,2024-01,ACTUAL,340122.35
NS10,(none),OVH,2024,2,2024-02-01,2024-02,ACTUAL,332659.76
NS10,(none),OVH,2024,3,2024-03-01,2024-03,ACTUAL,388606.43
NS10,(none),OVH,2024,4,2024-04-01,2024-04,ACTUAL,375455.44
NS10,(none),OVH,2024,5,2024-05-01,2024-05,ACTUAL,355145.84
NS10,(none),OVH,2024,6,2024-06-01,2024-06,ACTUAL,318647.76
NS10,(none),OVH,2024,7,2024-07-01,2024-07,ACTUAL,336260.92
NS10,(none),OVH,2024,8,2024-08-01,2024-08,ACTUAL,321835.16
NS10,(none),OVH,2024,9,2024-09-01,2024-09,ACTUAL,287826.0
NS10,(none),OVH,2024,10,2024-10-01,2024-10,ACTUAL,321018.36
NS10,(none),OVH,2024,11,2024-11-01,2024-11,ACTUAL,302635.73
NS10,(none),OVH,2024,12,2024-12-01,2024-12,ACTUAL,320889.19
NS10,(none),OVH,2025,1,2025-01-01,2025-01,ACTUAL,276993.9
NS10,(none),OVH,2025,2,2025-02-01,2025-02,ACTUAL,278325.96
NS10,(none),OVH,2025,3,2025-03-01,2025-03,ACTUAL,274671.58
NS10,(none),OVH,2025,4,2025-04-01,2025-04,ACTUAL,288704.5
NS10,(none),OVH,2025,5,2025-05-01,2025-05,ACTUAL,279088.58
NS10,(none),OVH,2025,6,2025-06-01,2025-06,ACTUAL,219803.89
NS10,(none),OVH,2025,7,2025-07-01,2025-07,ACTUAL,264711.52
NS10,(none),OVH,2025,8,2025-08-01,2025-08,ACTUAL,318679.72000000003
NS10,(none),OVH,2025,9,2025-09-01,2025-09,ACTUAL,268021.94
NS10,(none),OVH,2025,10,2025-10-01,2025-10,ACTUAL,231930.65
NS10,(none),OVH,2025,11,2025-11-01,2025-11,ACTUAL,259419.91
NS10,(none),OVH,2025,12,2025-12-01,2025-12,ACTUAL,271401.53
NS10,(none),OVH,2026,1,2026-01-01,2026-01,ACTUAL,257059.86
NS10,(none),OVH,2026,2,2026-02-01,2026-02,ACTUAL,242636.94
NS10,(none),OVH,2026,3,2026-03-01,2026-03,ACTUAL,296710.66
NS10,(none),OVH,2026,4,2026-04-01,2026-04,ACTUAL,312481.15
NS10,(none),OVH,2026,5,2026-05-01,2026-05,ACTUAL,260900.37
NS10,(none),OVH,2026,6,2026-06-01,2026-06,ACTUAL,272493.17
NS10,(none),PER,2023,1,2023-01-01,2023-01,ACTUAL,433437.43
NS10,(none),PER,2023,2,2023-02-01,2023-02,ACTUAL,410648.84
NS10,(none),PER,2023,3,2023-03-01,2023-03,ACTUAL,457092.49
NS10,(none),PER,2023,4,2023-04-01,2023-04,ACTUAL,294733.21
NS10,(none),PER,2023,5,2023-05-01,2023-05,ACTUAL,387794.11
NS10,(none),PER,2023,6,2023-06-01,2023-06,ACTUAL,360205.7
NS10,(none),PER,2023,7,2023-07-01,2023-07,ACTUAL,381650.04
NS10,(none),PER,2023,8,2023-08-01,2023-08,ACTUAL,384701.31
NS10,(none),PER,2023,9,2023-09-01,2023-09,ACTUAL,439278.92
NS10,(none),PER,2023,10,2023-10-01,2023-10,ACTUAL,405857.17
NS10,(none),PER,2023,11,2023-11-01,2023-11,ACTUAL,353252.75
NS10,(none),PER,2023,12,2023-12-01,2023-12,ACTUAL,376361.3
NS10,(none),PER,2024,1,2024-01-01,2024-01,ACTUAL,281163.96
NS10,(none),PER,2024,2,2024-02-01,2024-02,ACTUAL,286363.34
NS10,(none),PER,2024,3,2024-03-01,2024-03,ACTUAL,270722.22000000003
NS10,(none),PER,2024,4,2024-04-01,2024-04,ACTUAL,340727.79
NS10,(none),PER,2024,5,2024-05-01,2024-05,ACTUAL,308563.13
NS10,(none),PER,2024,6,2024-06-01,2024-06,ACTUAL,274346.85
NS10,(none),PER,2024,7,2024-07-01,2024-07,ACTUAL,280540.67
NS10,(none),PER,2024,8,2024-08-01,2024-08,ACTUAL,258073.3
NS10,(none),PER,2024,9,2024-09-01,2024-09,ACTUAL,255857.85
NS10,(none),PER,2024,10,2024-10-01,2024-10,ACTUAL,286027.26
NS10,(none),PER,2024,11,2024-11-01,2024-11,ACTUAL,299484.97000000003
NS10,(none),PER,2024,12,2024-12-01,2024-12,ACTUAL,252784.56
NS10,(none),PER,2025,1,2025-01-01,2025-01,ACTUAL,215787.61000000002
NS10,(none),PER,2025,2,2025-02-01,2025-02,ACTUAL,265725.87
NS10,(none),PER,2025,3,2025-03-01,2025-03,ACTUAL,217885.44
NS10,(none),PER,2025,4,2025-04-01,2025-04,ACTUAL,217317.18
NS10,(none),PER,2025,5,2025-05-01,2025-05,ACTUAL,217014.07
NS10,(none),PER,2025,6,2025-06-01,2025-06,ACTUAL,233095.23
NS10,(none),PER,2025,7,2025-07-01,2025-07,ACTUAL,254028.55
NS10,(none),PER,2025,8,2025-08-01,2025-08,ACTUAL,224414.25
NS10,(none),PER,2025,9,2025-09-01,2025-09,ACTUAL,248189.79
