close_task_id,company_code,company_name,fiscal_year,fiscal_period,task_id,task_name,task_sequence,target_working_day,period_end_date,due_date,actual_completion_date,delay_working_days,days_to_close,is_period_open
1,NS10,NovaSpace España S.A.,2023,1,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-01-31,2023-02-01,2023-02-01,0.0,,false
2,NS10,NovaSpace España S.A.,2023,1,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-01-31,2023-02-01,2023-02-01,0.0,,false
3,NS10,NovaSpace España S.A.,2023,1,T03,GR/IR clearing,3,2,2023-01-31,2023-02-02,2023-02-06,2.0,,false
4,NS10,NovaSpace España S.A.,2023,1,T04,Payroll posting,4,2,2023-01-31,2023-02-02,2023-02-01,-1.0,,false
5,NS10,NovaSpace España S.A.,2023,1,T05,Depreciation run,5,2,2023-01-31,2023-02-02,2023-02-02,0.0,,false
6,NS10,NovaSpace España S.A.,2023,1,T06,Accruals posting,6,3,2023-01-31,2023-02-03,2023-02-03,0.0,,false
7,NS10,NovaSpace España S.A.,2023,1,T07,Overhead allocation cycle,7,3,2023-01-31,2023-02-03,2023-02-03,0.0,,false
8,NS10,NovaSpace España S.A.,2023,1,T08,Intercompany reconciliation,8,3,2023-01-31,2023-02-03,2023-02-02,-1.0,,false
9,NS10,NovaSpace España S.A.,2023,1,T09,FX revaluation,9,4,2023-01-31,2023-02-06,2023-02-07,1.0,,false
10,NS10,NovaSpace España S.A.,2023,1,T10,Soft close / reporting cut-off,10,4,2023-01-31,2023-02-06,2023-02-03,-1.0,,false
11,NS10,NovaSpace España S.A.,2023,1,T11,Management reporting pack,11,5,2023-01-31,2023-02-07,2023-02-07,0.0,,false
12,NS10,NovaSpace España S.A.,2023,1,T12,Hard close / period lock,12,5,2023-01-31,2023-02-07,2023-02-08,1.0,6.0,false
13,NS10,NovaSpace España S.A.,2023,2,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-02-28,2023-03-01,2023-03-02,1.0,,false
14,NS10,NovaSpace España S.A.,2023,2,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-02-28,2023-03-01,2023-03-01,0.0,,false
15,NS10,NovaSpace España S.A.,2023,2,T03,GR/IR clearing,3,2,2023-02-28,2023-03-02,2023-03-06,2.0,,false
16,NS10,NovaSpace España S.A.,2023,2,T04,Payroll posting,4,2,2023-02-28,2023-03-02,2023-03-02,0.0,,false
17,NS10,NovaSpace España S.A.,2023,2,T05,Depreciation run,5,2,2023-02-28,2023-03-02,2023-03-06,2.0,,false
18,NS10,NovaSpace España S.A.,2023,2,T06,Accruals posting,6,3,2023-02-28,2023-03-03,2023-03-06,1.0,,false
19,NS10,NovaSpace España S.A.,2023,2,T07,Overhead allocation cycle,7,3,2023-02-28,2023-03-03,2023-03-03,0.0,,false
20,NS10,NovaSpace España S.A.,2023,2,T08,Intercompany reconciliation,8,3,2023-02-28,2023-03-03,2023-03-06,1.0,,false
21,NS10,NovaSpace España S.A.,2023,2,T09,FX revaluation,9,4,2023-02-28,2023-03-06,2023-03-06,0.0,,false
22,NS10,NovaSpace España S.A.,2023,2,T10,Soft close / reporting cut-off,10,4,2023-02-28,2023-03-06,2023-03-07,1.0,,false
23,NS10,NovaSpace España S.A.,2023,2,T11,Management reporting pack,11,5,2023-02-28,2023-03-07,2023-03-07,0.0,,false
24,NS10,NovaSpace España S.A.,2023,2,T12,Hard close / period lock,12,5,2023-02-28,2023-03-07,2023-03-08,1.0,6.0,false
25,NS10,NovaSpace España S.A.,2023,3,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-03-31,2023-04-03,2023-04-05,2.0,,false
