company_code,company_name,fiscal_year,fiscal_period,pl_section,account_group,account_group_name,amount_group_currency,line_count,manual_line_count
NS10,NovaSpace España S.A.,2023,1,COST_OF_SALES,MAT,Material,5727722.04,1917,126
NS10,NovaSpace España S.A.,2023,1,COST_OF_SALES,PER,Personnel,674830.68,443,142
NS10,NovaSpace España S.A.,2023,1,COST_OF_SALES,SUB,Subcontracting,9124445.22,1236,138
NS10,NovaSpace España S.A.,2023,1,OPERATING_EXPENSES,DEP,Depreciation,565046.07,281,0
NS10,NovaSpace España S.A.,2023,1,OPERATING_EXPENSES,OVH,Overhead,777308.31,1055,144
NS10,NovaSpace España S.A.,2023,1,OTHER,OTH,Other operating,84018.89,139,139
NS10,NovaSpace España S.A.,2023,1,REVENUE,REV,Revenue,-17327620.18,716,0
NS10,NovaSpace España S.A.,2023,2,COST_OF_SALES,MAT,Material,5202746.98,1765,99
NS10,NovaSpace España S.A.,2023,2,COST_OF_SALES,PER,Personnel,660058.57,507,181
NS10,NovaSpace España S.A.,2023,2,COST_OF_SALES,SUB,Subcontracting,8959574.0,1243,162
NS10,NovaSpace España S.A.,2023,2,OPERATING_EXPENSES,DEP,Depreciation,606226.38,301,0
NS10,NovaSpace España S.A.,2023,2,OPERATING_EXPENSES,OVH,Overhead,741946.33,1050,180
NS10,NovaSpace España S.A.,2023,2,OTHER,OTH,Other operating,52837.54,161,161
NS10,NovaSpace España S.A.,2023,2,REVENUE,REV,Revenue,-15774049.32,681,0
NS10,NovaSpace España S.A.,2023,3,COST_OF_SALES,MAT,Material,6353752.22,2128,111
NS10,NovaSpace España S.A.,2023,3,COST_OF_SALES,PER,Personnel,760534.75,561,186
NS10,NovaSpace España S.A.,2023,3,COST_OF_SALES,SUB,Subcontracting,10648440.29,1532,213
NS10,NovaSpace España S.A.,2023,3,OPERATING_EXPENSES,DEP,Depreciation,546155.6,267,0
NS10,NovaSpace España S.A.,2023,3,OPERATING_EXPENSES,OVH,Overhead,967435.93,1285,215
NS10,NovaSpace España S.A.,2023,3,OTHER,OTH,Other operating,80595.49,209,209
NS10,NovaSpace España S.A.,2023,3,REVENUE,REV,Revenue,-20301410.35,753,0
NS10,NovaSpace España S.A.,2023,4,COST_OF_SALES,MAT,Material,5200380.77,1814,106
NS10,NovaSpace España S.A.,2023,4,COST_OF_SALES,PER,Personnel,602939.78,434,164
NS10,NovaSpace España S.A.,2023,4,COST_OF_SALES,SUB,Subcontracting,7996598.66,1208,187
NS10,NovaSpace España S.A.,2023,4,OPERATING_EXPENSES,DEP,Depreciation,508676.64,252,0
NS10,NovaSpace España S.A.,2023,4,OPERATING_EXPENSES,OVH,Overhead,776705.62,1085,152
NS10,NovaSpace España S.A.,2023,4,OTHER,OTH,Other operating,81995.42,171,171
NS10,NovaSpace España S.A.,2023,4,REVENUE,REV,Revenue,-17425330.39,735,0
NS10,NovaSpace España S.A.,2023,5,COST_OF_SALES,MAT,Material,5457666.48,1835,97
NS10,NovaSpace España S.A.,2023,5,COST_OF_SALES,PER,Personnel,666791.47,481,175
NS10,NovaSpace España S.A.,2023,5,COST_OF_SALES,SUB,Subcontracting,9126933.11,1264,156
NS10,NovaSpace España S.A.,2023,5,OPERATING_EXPENSES,DEP,Depreciation,549019.23,267,0
NS10,NovaSpace España S.A.,2023,5,OPERATING_EXPENSES,OVH,Overhead,784815.17,1074,165
NS10,NovaSpace España S.A.,2023,5,OTHER,OTH,Other operating,61049.86,186,186
NS10,NovaSpace España S.A.,2023,5,REVENUE,REV,Revenue,-19859817.33,770,0
NS10,NovaSpace España S.A.,2023,6,COST_OF_SALES,MAT,Material,5289681.01,1840,96
NS10,NovaSpace España S.A.,2023,6,COST_OF_SALES,PER,Personnel,629970.31,473,156
NS10,NovaSpace España S.A.,2023,6,COST_OF_SALES,SUB,Subcontracting,8834108.62,1284,147
NS10,NovaSpace España S.A.,2023,6,OPERATING_EXPENSES,DEP,Depreciation,560863.17,257,0
NS10,NovaSpace España S.A.,2023,6,OPERATING_EXPENSES,OVH,Overhead,824340.94,1122,162
NS10,NovaSpace España S.A.,2023,6,OTHER,OTH,Other operating,65849.67,170,170
NS10,NovaSpace España S.A.,2023,6,REVENUE,REV,Revenue,-18126116.4,743,0
NS10,NovaSpace España S.A.,2023,7,COST_OF_SALES,MAT,Material,6356952.72,2115,103
NS10,NovaSpace España S.A.,2023,7,COST_OF_SALES,PER,Personnel,755549.33,517,176
NS10,NovaSpace España S.A.,2023,7,COST_OF_SALES,SUB,Subcontracting,10557035.21,1438,195
NS10,NovaSpace España S.A.,2023,7,OPERATING_EXPENSES,DEP,Depreciation,685739.39,322,0
NS10,NovaSpace España S.A.,2023,7,OPERATING_EXPENSES,OVH,Overhead,939762.52,1259,196
NS10,NovaSpace España S.A.,2023,7,OTHER,OTH,Other operating,70454.46,228,228
NS10,NovaSpace España S.A.,2023,7,REVENUE,REV,Revenue,-19945962.79,766,0
NS10,NovaSpace España S.A.,2023,8,COST_OF_SALES,MAT,Material,5635136.65,1881,108
NS10,NovaSpace España S.A.,2023,8,COST_OF_SALES,PER,Personnel,751216.56,539,190
NS10,NovaSpace España S.A.,2023,8,COST_OF_SALES,SUB,Subcontracting,9969087.33,1399,187
NS10,NovaSpace España S.A.,2023,8,OPERATING_EXPENSES,DEP,Depreciation,607016.79,293,0
NS10,NovaSpace España S.A.,2023,8,OPERATING_EXPENSES,OVH,Overhead,850919.33,1159,183
NS10,NovaSpace España S.A.,2023,8,OTHER,OTH,Other operating,53821.03,187,187
NS10,NovaSpace España S.A.,2023,8,REVENUE,REV,Revenue,-18089353.05,705,0
NS10,NovaSpace España S.A.,2023,9,COST_OF_SALES,MAT,Material,5848781.5,1943,118
NS10,NovaSpace España S.A.,2023,9,COST_OF_SALES,PER,Personnel,833205.64,588,187
NS10,NovaSpace España S.A.,2023,9,COST_OF_SALES,SUB,Subcontracting,10022132.27,1450,184
NS10,NovaSpace España S.A.,2023,9,OPERATING_EXPENSES,DEP,Depreciation,690967.05,338,0
NS10,NovaSpace España S.A.,2023,9,OPERATING_EXPENSES,OVH,Overhead,952759.87,1283,180
NS10,NovaSpace España S.A.,2023,9,OTHER,OTH,Other operating,81555.12,205,205
NS10,NovaSpace España S.A.,2023,9,REVENUE,REV,Revenue,-20297418.05,808,0
NS10,NovaSpace España S.A.,2023,10,COST_OF_SALES,MAT,Material,5985762.17,2002,126
NS10,NovaSpace España S.A.,2023,10,COST_OF_SALES,PER,Personnel,770509.24,568,187
NS10,NovaSpace España S.A.,2023,10,COST_OF_SALES,SUB,Subcontracting,9752209.89,1365,186
NS10,NovaSpace España S.A.,2023,10,OPERATING_EXPENSES,DEP,Depreciation,559622.05,278,0
NS10,NovaSpace España S.A.,2023,10,OPERATING_EXPENSES,OVH,Overhead,911682.98,1202,185
NS10,NovaSpace España S.A.,2023,10,OTHER,OTH,Other operating,70935.26,195,195
NS10,NovaSpace España S.A.,2023,10,REVENUE,REV,Revenue,-19304100.17,776,0
NS10,NovaSpace España S.A.,2023,11,COST_OF_SALES,MAT,Material,4954558.96,1665,99
NS10,NovaSpace España S.A.,2023,11,COST_OF_SALES,PER,Personnel,604449.14,469,171
NS10,NovaSpace España S.A.,2023,11,COST_OF_SALES,SUB,Subcontracting,8516866.67,1192,175
NS10,NovaSpace España S.A.,2023,11,OPERATING_EXPENSES,DEP,Depreciation,439610.31,208,0
NS10,NovaSpace España S.A.,2023,11,OPERATING_EXPENSES,OVH,Overhead,798964.77,1050,156
NS10,NovaSpace España S.A.,2023,11,OTHER,OTH,Other operating,63058.83,173,173
NS10,NovaSpace España S.A.,2023,11,REVENUE,REV,Revenue,-16015302.94,660,0
NS10,NovaSpace España S.A.,2023,12,COST_OF_SALES,MAT,Material,5586606.72,1904,94
NS10,NovaSpace España S.A.,2023,12,COST_OF_SALES,PER,Personnel,785180.94,558,176
NS10,NovaSpace España S.A.,2023,12,COST_OF_SALES,SUB,Subcontracting,9699392.84,1388,177
NS10,NovaSpace España S.A.,2023,12,OPERATING_EXPENSES,DEP,Depreciation,541047.01,266,0
NS10,NovaSpace España S.A.,2023,12,OPERATING_EXPENSES,OVH,Overhead,812214.78,1142,152
NS10,NovaSpace España S.A.,2023,12,OTHER,OTH,Other operating,83115.5,181,181
NS10,NovaSpace España S.A.,2023,12,REVENUE,REV,Revenue,-18841018.5,784,0
NS10,NovaSpace España S.A.,2023,13,COST_OF_SALES,MAT,Material,149664.93,47,47
NS10,NovaSpace España S.A.,2023,13,COST_OF_SALES,PER,Personnel,181294.49,115,115
NS10,NovaSpace España S.A.,2023,13,COST_OF_SALES,SUB,Subcontracting,757356.79,108,108
NS10,NovaSpace España S.A.,2023,13,OPERATING_EXPENSES,OVH,Overhead,85747.08,107,107
