programme_id,programme_name,programme_type,company_code,fiscal_year,fiscal_period,period_date,fiscal_period_label,account_group,amount_group_currency,total_budget_eur
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,DEP,30758.81,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,MAT,301789.75,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,OTH,4518.37,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,OVH,65991.03,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,PER,45846.04,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,4,2023-04-01,2023-04,SUB,437473.09,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,DEP,33452.68,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,MAT,354750.22,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,OTH,1801.05,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,OVH,48546.46,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,PER,48832.39,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,5,2023-05-01,2023-05,SUB,577835.34,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,DEP,41877.47,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,MAT,370467.08,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,OTH,3988.48,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,OVH,58981.81,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,PER,40539.42,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,6,2023-06-01,2023-06,SUB,626203.06,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,DEP,37137.73,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,MAT,441454.86,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,OTH,7659.92,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,OVH,75265.22,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,PER,35575.96,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,7,2023-07-01,2023-07,SUB,609269.14,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,DEP,36124.84,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,MAT,363575.95,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,OTH,4100.3,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,OVH,54305.54,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,PER,60775.55,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,8,2023-08-01,2023-08,SUB,634674.92,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,DEP,46695.08,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,MAT,357929.08,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,OTH,4793.97,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,OVH,77485.16,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,PER,71494.48,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,9,2023-09-01,2023-09,SUB,743690.05,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,DEP,33898.29,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,MAT,491618.88,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,OTH,4816.87,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,OVH,60891.19,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,PER,47173.19,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,10,2023-10-01,2023-10,SUB,521630.07,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,11,2023-11-01,2023-11,DEP,11160.45,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,11,2023-11-01,2023-11,MAT,364306.56,406709949.22
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS10,2023,11,2023-11-01,2023-11,OTH,1185.76,406709949.22
